case,status,k_calc,k_sigma,k_ref,sigma_exp,delta_pcm,bound_pcm,sigma_ratio,ref_source,runtime_s,n_seeds,batches,inactive,particles,error
heu-comp-inter-003_case-1,PASS,1.005560,0.000675,1.000000,0.005700,556.0,1148.0,0.969,k_eff_reference (ICSBEP handbook),102.27,5,150,40,20000,
heu-comp-inter-003_case-2,PASS,1.006169,0.000199,1.000000,0.006100,616.9,1220.6,1.011,k_eff_reference (ICSBEP handbook),104.73,5,150,40,20000,
heu-comp-inter-003_case-3,PASS,1.006223,0.000389,1.000000,0.005600,622.3,1122.7,1.109,k_eff_reference (ICSBEP handbook),101.66,5,150,40,20000,
heu-comp-inter-003_case-4,PASS,1.002287,0.000250,1.000000,0.005500,228.7,1101.1,0.415,k_eff_reference (ICSBEP handbook),102.06,5,150,40,20000,
heu-comp-inter-003_case-5,PASS,0.999217,0.000135,1.000000,0.004700,-78.3,940.4,0.166,k_eff_reference (ICSBEP handbook),85.11,5,150,40,20000,
heu-comp-inter-003_case-6,PASS,0.995519,0.000424,1.000000,0.004700,-448.1,943.8,0.949,k_eff_reference (ICSBEP handbook),83.66,5,150,40,20000,
heu-comp-inter-003_case-7,PASS,0.995252,0.000438,1.000000,0.005000,-474.8,1003.8,0.946,k_eff_reference (ICSBEP handbook),98.55,5,150,40,20000,
heu-met-fast-001_case-1,PASS,0.998463,0.000430,1.000000,0.001000,-153.7,217.7,1.413,k_eff_reference (ICSBEP handbook),30.76,5,150,30,20000,
heu-met-fast-001_case-2,FAIL,0.997913,0.000261,1.000000,0.001000,-208.7,206.7,2.019,k_eff_reference (ICSBEP handbook),21.34,5,150,30,20000,
heu-met-fast-002_case-1,PASS,1.000971,0.000277,1.000000,0.003000,97.1,602.5,0.322,k_eff_reference (ICSBEP handbook),70.97,5,150,30,20000,
heu-met-fast-002_case-2,PASS,1.001821,0.000423,1.000000,0.003000,182.1,605.9,0.601,k_eff_reference (ICSBEP handbook),80.40,5,150,30,20000,
heu-met-fast-002_case-3,PASS,0.999425,0.000551,1.000000,0.003000,-57.5,610.0,0.188,k_eff_reference (ICSBEP handbook),89.49,5,150,30,20000,
heu-comp-inter-003_case-1,PASS,1.005560,0.000675,1.000000,0.005700,556.0,1148.0,0.969,k_eff_reference (ICSBEP handbook),95.15,5,150,40,20000,
heu-comp-inter-003_case-2,PASS,1.006169,0.000199,1.000000,0.006100,616.9,1220.6,1.011,k_eff_reference (ICSBEP handbook),101.33,5,150,40,20000,
heu-comp-inter-003_case-3,PASS,1.006223,0.000389,1.000000,0.005600,622.3,1122.7,1.109,k_eff_reference (ICSBEP handbook),101.17,5,150,40,20000,
heu-comp-inter-003_case-4,PASS,1.002287,0.000250,1.000000,0.005500,228.7,1101.1,0.415,k_eff_reference (ICSBEP handbook),102.74,5,150,40,20000,
heu-comp-inter-003_case-5,PASS,0.999217,0.000135,1.000000,0.004700,-78.3,940.4,0.166,k_eff_reference (ICSBEP handbook),85.20,5,150,40,20000,
heu-comp-inter-003_case-6,PASS,0.995519,0.000424,1.000000,0.004700,-448.1,943.8,0.949,k_eff_reference (ICSBEP handbook),83.47,5,150,40,20000,
heu-comp-inter-003_case-7,PASS,0.995252,0.000438,1.000000,0.005000,-474.8,1003.8,0.946,k_eff_reference (ICSBEP handbook),87.76,5,150,40,20000,
heu-met-fast-001_case-1,PASS,0.998463,0.000430,1.000000,0.001000,-153.7,217.7,1.413,k_eff_reference (ICSBEP handbook),28.93,5,150,30,20000,
heu-met-fast-001_case-2,FAIL,0.997913,0.000261,1.000000,0.001000,-208.7,206.7,2.019,k_eff_reference (ICSBEP handbook),20.46,5,150,30,20000,
heu-met-fast-002_case-1,PASS,1.000971,0.000277,1.000000,0.003000,97.1,602.5,0.322,k_eff_reference (ICSBEP handbook),65.19,5,150,30,20000,
heu-met-fast-002_case-2,PASS,1.001821,0.000423,1.000000,0.003000,182.1,605.9,0.601,k_eff_reference (ICSBEP handbook),72.73,5,150,30,20000,
heu-met-fast-002_case-3,PASS,0.999425,0.000551,1.000000,0.003000,-57.5,610.0,0.188,k_eff_reference (ICSBEP handbook),82.72,5,150,30,20000,
heu-met-fast-002_case-4,PASS,0.998675,0.000363,1.000000,0.003000,-132.5,604.4,0.438,k_eff_reference (ICSBEP handbook),82.82,5,150,30,20000,
heu-met-fast-002_case-5,PASS,0.999264,0.000682,1.000000,0.003000,-73.6,615.3,0.239,k_eff_reference (ICSBEP handbook),83.77,5,150,30,20000,
heu-met-fast-002_case-6,PASS,1.000923,0.000618,1.000000,0.003000,92.3,612.6,0.301,k_eff_reference (ICSBEP handbook),82.48,5,150,30,20000,
heu-met-fast-003_case-1,PASS,0.994023,0.000492,1.000000,0.005000,-597.7,1004.8,1.190,k_eff_reference (ICSBEP handbook),29.78,5,150,30,20000,
heu-met-fast-003_case-10,PASS,1.002914,0.000117,1.000000,0.005000,291.4,1000.3,0.583,k_eff_reference (ICSBEP handbook),65.54,5,150,30,20000,
heu-met-fast-003_case-11,PASS,1.009112,0.000418,1.000000,0.005000,911.2,1003.5,1.816,k_eff_reference (ICSBEP handbook),86.41,5,150,30,20000,
heu-met-fast-003_case-12,FAIL,1.006456,0.000168,1.000000,0.003000,645.6,600.9,2.149,k_eff_reference (ICSBEP handbook),82.68,5,150,30,20000,
heu-met-fast-003_case-2,PASS,0.992847,0.000512,1.000000,0.005000,-715.3,1005.2,1.423,k_eff_reference (ICSBEP handbook),35.27,5,150,30,20000,
heu-met-fast-003_case-3,PASS,0.998014,0.000360,1.000000,0.005000,-198.6,1002.6,0.396,k_eff_reference (ICSBEP handbook),40.77,5,150,30,20000,
heu-met-fast-003_case-4,PASS,0.996849,0.000555,1.000000,0.003000,-315.1,610.2,1.033,k_eff_reference (ICSBEP handbook),46.90,5,150,30,20000,
heu-met-fast-003_case-5,PASS,1.000858,0.000261,1.000000,0.003000,85.8,602.3,0.285,k_eff_reference (ICSBEP handbook),59.92,5,150,30,20000,
heu-met-fast-003_case-6,PASS,1.000971,0.000277,1.000000,0.003000,97.1,602.5,0.322,k_eff_reference (ICSBEP handbook),65.18,5,150,30,20000,
heu-met-fast-003_case-7,PASS,1.001764,0.000659,1.000000,0.003000,176.4,614.3,0.574,k_eff_reference (ICSBEP handbook),79.63,5,150,30,20000,
heu-met-fast-003_case-8,PASS,0.998376,0.000112,1.000000,0.005000,-162.4,1000.3,0.325,k_eff_reference (ICSBEP handbook),37.21,5,150,30,20000,
heu-met-fast-003_case-9,PASS,0.998710,0.000220,1.000000,0.005000,-129.0,1001.0,0.258,k_eff_reference (ICSBEP handbook),47.45,5,150,30,20000,
heu-met-fast-004_case-1,PASS,1.001580,0.000247,1.002000,0.000000,-42.0,150.0,1.700,k_eff_reference (ICSBEP handbook),159.84,5,150,30,20000,
