case,status,k_calc,k_sigma,k_ref ,sigma_exp ,dekta_pcm,bound_pcm,sigma_ratio,ref_source,runtime_s,n_seeds,batches,inactive,particles,gpu_refill_pool_factor ,gpu_auto_refill ,error_str
heu-comp-inter-003_case-1,PASS,1.009538,0.000097,1.006720,0.005700,281.8,1140.2,0.494,local_validation (OpenMC on this scene),1752.47,5,150,30,200000,3.48,True,
heu-comp-inter-003_case-2,PASS,1.011850,0.000049,1.000000,0.006100,1185.0,1220.0,1.943,k_eff_reference (ICSBEP handbook),1886.57,5,150,30,200000,3.48,True,
heu-comp-inter-003_case-3,FAIL,1.011392,0.000060,1.000000,0.005600,1139.2,1120.1,2.034,k_eff_reference (ICSBEP handbook),1839.95,5,150,30,200000,3.48,True,
heu-comp-inter-003_case-1,PASS,1.009698,0.000084,1.006720,0.005700,297.8,1140.1,0.522,local_validation (OpenMC on this scene),1729.93,5,150,30,200000,3.48,True,
heu-comp-inter-003_case-2,PASS,1.011870,0.000031,1.000000,0.006100,1187.0,1220.0,1.946,k_eff_reference (ICSBEP handbook),1859.96,5,150,30,200000,3.48,True,
heu-comp-inter-003_case-3,FAIL,1.011406,0.000045,1.000000,0.005600,1140.6,1120.0,2.037,k_eff_reference (ICSBEP handbook),1813.99,5,150,30,200000,3.48,True,
heu-comp-inter-003_case-4,PASS,1.008843,0.000079,1.000000,0.005500,884.3,1100.1,1.608,k_eff_reference (ICSBEP handbook),1812.06,5,150,30,200000,3.48,True,
heu-comp-inter-003_case-5,PASS,1.004981,0.000073,1.000000,0.004700,498.1,940.1,1.060,k_eff_reference (ICSBEP handbook),1153.04,5,150,30,200000,3.48,True,
heu-comp-inter-003_case-6,PASS,1.000672,0.000048,1.000000,0.004700,67.2,940.0,0.143,k_eff_reference (ICSBEP handbook),1120.92,5,150,30,200000,3.48,True,
heu-comp-inter-003_case-7,PASS,1.000225,0.000062,1.000000,0.005000,22.5,1000.1,0.045,k_eff_reference (ICSBEP handbook),1229.54,5,150,30,200000,3.48,True,
heu-met-fast-001_case-1,PASS,1.001284,0.000071,1.000000,0.001000,128.4,200.5,1.280,k_eff_reference (ICSBEP handbook),334.65,5,150,30,200000,3.48,True,
heu-met-fast-001_case-2,PASS,1.001183,0.000053,1.000000,0.001000,118.3,200.3,1.181,k_eff_reference (ICSBEP handbook),149.50,5,150,30,200000,3.48,True,
heu-met-fast-002_case-1,PASS,1.001240,0.000020,1.000000,0.003000,124.0,600.0,0.413,k_eff_reference (ICSBEP handbook),1047.84,5,150,30,200000,3.48,True,
heu-met-fast-002_case-2,PASS,1.001957,0.000058,1.000000,0.003000,195.7,600.1,0.652,k_eff_reference (ICSBEP handbook),1239.13,5,150,30,200000,3.48,True,
heu-met-fast-002_case-3,PASS,1.000389,0.000024,1.000000,0.003000,38.9,600.0,0.130,k_eff_reference (ICSBEP handbook),1345.00,5,150,30,200000,3.48,True,
heu-met-fast-002_case-4,PASS,0.999525,0.000078,1.000000,0.003000,-47.5,600.2,0.158,k_eff_reference (ICSBEP handbook),1353.91,5,150,30,200000,3.48,True,
heu-met-fast-002_case-5,PASS,1.000063,0.000042,1.000000,0.003000,6.3,600.1,0.021,k_eff_reference (ICSBEP handbook),1348.14,5,150,30,200000,,True,
heu-met-fast-002_case-6,PASS,1.001318,0.000071,1.000000,0.003000,131.8,600.2,0.439,k_eff_reference (ICSBEP handbook),1347.25,5,150,30,200000,,True,
heu-met-fast-003_case-1,PASS,0.994288,0.000050,1.000000,0.005000,-571.2,1000.0,1.142,k_eff_reference (ICSBEP handbook),350.51,5,150,30,200000,,True,
heu-met-fast-003_case-10,PASS,1.003014,0.000063,1.000000,0.005000,301.4,1000.1,0.603,k_eff_reference (ICSBEP handbook),930.98,5,150,30,200000,,True,
heu-met-fast-003_case-11,PASS,1.008588,0.000062,1.000000,0.005000,858.8,1000.1,1.718,k_eff_reference (ICSBEP handbook),1188.71,5,150,30,200000,,True,
heu-met-fast-003_case-12,PASS,0.999443,0.000041,1.000000,0.003000,-55.7,600.1,0.186,k_eff_reference (ICSBEP handbook),1597.31,5,150,30,200000,,True,
heu-met-fast-003_case-2,PASS,0.993576,0.000075,1.000000,0.005000,-642.4,1000.1,1.285,k_eff_reference (ICSBEP handbook),472.93,5,150,30,200000,,True,
heu-met-fast-003_case-3,PASS,0.998343,0.000057,1.000000,0.005000,-165.7,1000.1,0.331,k_eff_reference (ICSBEP handbook),602.90,5,150,30,200000,,True,
heu-met-fast-003_case-4,PASS,0.996479,0.000092,1.000000,0.003000,-352.1,600.3,1.173,k_eff_reference (ICSBEP handbook),728.80,5,150,30,200000,,True,
heu-met-fast-003_case-5,PASS,1.000994,0.000104,1.000000,0.003000,99.4,600.4,0.331,k_eff_reference (ICSBEP handbook),953.63,5,150,30,200000,,True,
heu-met-fast-003_case-6,PASS,1.001376,0.000094,1.000000,0.003000,137.6,600.3,0.458,k_eff_reference (ICSBEP handbook),1048.25,5,150,30,200000,,True,
heu-met-fast-003_case-7,PASS,1.001955,0.000064,1.000000,0.003000,195.5,600.1,0.651,k_eff_reference (ICSBEP handbook),1263.39,5,150,30,200000,,True,
heu-met-fast-003_case-8,PASS,0.999584,0.000047,1.000000,0.005000,-41.6,1000.0,0.083,k_eff_reference (ICSBEP handbook),481.20,5,150,30,200000,,True,
heu-met-fast-003_case-9,PASS,0.999319,0.000036,1.000000,0.005000,-68.1,1000.0,0.136,k_eff_reference (ICSBEP handbook),657.36,5,150,30,200000,,True,
heu-met-fast-004_case-1,PASS,1.002746,0.000050,1.002000,0.000000,74.6,150.0,14.781,k_eff_reference (ICSBEP handbook),5099.70,5,150,30,200000,,True,
heu-met-fast-008,PASS,0.997066,0.000037,0.995800,0.001600,126.6,320.1,0.791,local_validation (OpenMC on this scene),770.09,5,150,30,200000,,True,
heu-met-fast-009_case-1,PASS,0.999959,0.000044,0.999200,0.001500,75.9,300.1,0.506,k_eff_reference (ICSBEP handbook),1036.47,5,150,30,200000,,True,
heu-met-fast-009_case-2,PASS,0.997850,0.000048,0.999200,0.001500,-135.0,300.2,0.900,k_eff_reference (ICSBEP handbook),1007.56,5,150,30,200000,,True,
heu-met-fast-011,PASS,0.996978,0.000065,0.998900,0.001500,-192.2,300.3,1.280,k_eff_reference (ICSBEP handbook),5148.34,5,150,30,200000,,True,
