case,status,k_calc,k_sigma,k_ref,sigma_exp,delta_pcm,bound_pcm,sigma_ratio,ref_source,runtime_s,n_seeds,batches,inactive,particles,error
heu-comp-inter-003_case-1,PASS,1.005560,0.000675,1.006720,0.005700,-116.0,1148.0,0.202,local_validation (OpenMC on this scene),92.42,5,150,40,20000,
heu-comp-inter-003_case-2,PASS,1.006169,0.000199,1.000000,0.006100,616.9,1220.6,1.011,k_eff_reference (ICSBEP handbook),98.39,5,150,40,20000,
heu-comp-inter-003_case-3,PASS,1.006223,0.000389,1.000000,0.005600,622.3,1122.7,1.109,k_eff_reference (ICSBEP handbook),97.93,5,150,40,20000,
heu-comp-inter-003_case-4,PASS,1.002287,0.000250,1.000000,0.005500,228.7,1101.1,0.415,k_eff_reference (ICSBEP handbook),97.77,5,150,40,20000,
heu-comp-inter-003_case-5,PASS,0.999217,0.000135,1.000000,0.004700,-78.3,940.4,0.166,k_eff_reference (ICSBEP handbook),81.10,5,150,40,20000,
heu-comp-inter-003_case-6,PASS,0.995519,0.000424,1.000000,0.004700,-448.1,943.8,0.949,k_eff_reference (ICSBEP handbook),77.39,5,150,40,20000,
heu-comp-inter-003_case-7,PASS,0.995252,0.000438,1.000000,0.005000,-474.8,1003.8,0.946,k_eff_reference (ICSBEP handbook),81.69,5,150,40,20000,
heu-met-fast-001_case-1,PASS,0.998463,0.000430,1.000000,0.001000,-153.7,217.7,1.413,k_eff_reference (ICSBEP handbook),19.29,5,150,30,20000,
heu-met-fast-001_case-2,FAIL,0.997913,0.000261,1.000000,0.001000,-208.7,206.7,2.019,k_eff_reference (ICSBEP handbook),10.29,5,150,30,20000,
heu-met-fast-002_case-1,PASS,1.000971,0.000277,1.000000,0.003000,97.1,602.5,0.322,k_eff_reference (ICSBEP handbook),58.31,5,150,30,20000,
heu-met-fast-002_case-2,PASS,1.001821,0.000423,1.000000,0.003000,182.1,605.9,0.601,k_eff_reference (ICSBEP handbook),66.87,5,150,30,20000,
heu-met-fast-002_case-3,PASS,0.999425,0.000551,1.000000,0.003000,-57.5,610.0,0.188,k_eff_reference (ICSBEP handbook),78.60,5,150,30,20000,
heu-met-fast-002_case-4,PASS,0.998675,0.000363,1.000000,0.003000,-132.5,604.4,0.438,k_eff_reference (ICSBEP handbook),79.38,5,150,30,20000,
heu-met-fast-002_case-5,PASS,0.999264,0.000682,1.000000,0.003000,-73.6,615.3,0.239,k_eff_reference (ICSBEP handbook),78.59,5,150,30,20000,
