ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
0,0.00,gr_init_stacks,gr_init_stacks,"0,13","0,00","28,23","27,08",60,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
1,0.00,gr_trace_and_sample,gr_trace_and_sample,"4,56","0,00","49,87","4,55",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
2,0.00,gr_scan_offsets,gr_scan_offsets,"0,01","0,00","0,07","0,73",39,"    1,    1,    1","    1,    1,    1",Kernel: SIMT
3,0.00,gr_partition,gr_partition,"0,02","0,00","0,83","5,30",16,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
4,0.00,gr_elastic_event,gr_elastic_event,"0,03","0,00","39,86","13,14",66,"   97,    1,    1","  128,    1,    1",Kernel: SIMT
5,0.00,gr_inelastic_event,gr_inelastic_event,"0,16","0,00","24,34","2,57",74,"   38,    1,    1","  128,    1,    1",Kernel: SIMT
6,0.00,gr_fission_event,gr_fission_event,"0,05","0,00","1,04","1,02",70,"    2,    1,    1","  128,    1,    1",Kernel: SIMT
7,0.00,gr_trace_and_sample,gr_trace_and_sample,"5,95","0,00","47,77","3,29",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
8,0.00,gr_scan_offsets,gr_scan_offsets,"0,01","0,00","0,07","0,53",39,"    1,    1,    1","    1,    1,    1",Kernel: SIMT
9,0.00,gr_partition,gr_partition,"0,02","0,00","0,79","5,50",16,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
10,0.00,gr_elastic_event,gr_elastic_event,"0,03","0,00","35,60","11,98",66,"   88,    1,    1","  128,    1,    1",Kernel: SIMT
11,0.00,gr_inelastic_event,gr_inelastic_event,"0,15","0,00","18,05","1,89",74,"   29,    1,    1","  128,    1,    1",Kernel: SIMT
12,0.00,gr_fission_event,gr_fission_event,"0,04","0,00","0,81","1,26",70,"    2,    1,    1","  128,    1,    1",Kernel: SIMT
13,0.00,gr_trace_and_sample,gr_trace_and_sample,"5,17","0,00","51,64","3,47",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
14,0.00,gr_scan_offsets,gr_scan_offsets,"0,01","0,00","0,07","0,53",39,"    1,    1,    1","    1,    1,    1",Kernel: SIMT
15,0.00,gr_partition,gr_partition,"0,01","0,00","0,73","5,70",16,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
16,0.00,gr_elastic_event,gr_elastic_event,"0,03","0,00","32,62","10,96",66,"   81,    1,    1","  128,    1,    1",Kernel: SIMT
17,0.00,gr_inelastic_event,gr_inelastic_event,"0,15","0,00","10,14","1,50",74,"   22,    1,    1","  128,    1,    1",Kernel: SIMT
18,0.00,gr_fission_event,gr_fission_event,"0,05","0,00","0,76","0,54",70,"    2,    1,    1","  128,    1,    1",Kernel: SIMT
19,0.00,gr_trace_and_sample,gr_trace_and_sample,"5,37","0,00","44,53","3,04",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
20,0.00,gr_scan_offsets,gr_scan_offsets,"0,01","0,00","0,07","0,86",39,"    1,    1,    1","    1,    1,    1",Kernel: SIMT
21,0.00,gr_partition,gr_partition,"0,01","0,00","0,80","6,02",16,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
22,0.00,gr_elastic_event,gr_elastic_event,"0,03","0,00","30,11","10,24",66,"   74,    1,    1","  128,    1,    1",Kernel: SIMT
23,0.00,gr_inelastic_event,gr_inelastic_event,"0,14","0,00","8,50","1,32",74,"   17,    1,    1","  128,    1,    1",Kernel: SIMT
24,0.00,gr_fission_event,gr_fission_event,"0,04","0,00","0,76","0,56",70,"    2,    1,    1","  128,    1,    1",Kernel: SIMT
25,0.00,gr_trace_and_sample,gr_trace_and_sample,"4,81","0,00","45,16","3,24",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
26,0.00,gr_scan_offsets,gr_scan_offsets,"0,01","0,00","0,07","0,84",39,"    1,    1,    1","    1,    1,    1",Kernel: SIMT
27,0.00,gr_partition,gr_partition,"0,01","0,00","0,90","5,80",16,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
28,0.00,gr_elastic_event,gr_elastic_event,"0,03","0,00","25,70","12,70",66,"   67,    1,    1","  128,    1,    1",Kernel: SIMT
29,0.00,gr_inelastic_event,gr_inelastic_event,"0,14","0,00","5,81","1,08",74,"   14,    1,    1","  128,    1,    1",Kernel: SIMT
30,0.00,gr_fission_event,gr_fission_event,"0,05","0,00","0,62","0,54",70,"    1,    1,    1","  128,    1,    1",Kernel: SIMT
31,0.00,gr_trace_and_sample,gr_trace_and_sample,"4,58","0,00","44,62","3,23",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
32,0.00,gr_scan_offsets,gr_scan_offsets,"0,01","0,00","0,07","1,01",39,"    1,    1,    1","    1,    1,    1",Kernel: SIMT
33,0.00,gr_partition,gr_partition,"0,01","0,00","0,99","5,75",16,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
34,0.00,gr_elastic_event,gr_elastic_event,"0,03","0,00","23,99","8,62",66,"   62,    1,    1","  128,    1,    1",Kernel: SIMT
35,0.00,gr_inelastic_event,gr_inelastic_event,"0,14","0,00","4,55","1,04",74,"   11,    1,    1","  128,    1,    1",Kernel: SIMT
36,0.00,gr_fission_event,gr_fission_event,"0,04","0,00","0,61","0,53",70,"    1,    1,    1","  128,    1,    1",Kernel: SIMT
37,0.00,gr_trace_and_sample,gr_trace_and_sample,"4,20","0,00","46,37","3,10",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
38,0.00,gr_scan_offsets,gr_scan_offsets,"0,01","0,00","0,07","0,90",39,"    1,    1,    1","    1,    1,    1",Kernel: SIMT
39,0.00,gr_partition,gr_partition,"0,01","0,00","1,08","5,64",16,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
