ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
0,0.00,transport_recursive_persistent,transport_recursive_persistent,"631,21","0,00","5,30","6,33",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
1,0.00,transport_recursive_persistent,transport_recursive_persistent,"839,11","0,00","5,06","6,07",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
2,0.00,transport_recursive_persistent,transport_recursive_persistent,"820,33","0,00","5,17","6,13",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
3,0.00,transport_recursive_persistent,transport_recursive_persistent,"832,35","0,00","5,04","6,08",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
4,0.00,transport_recursive_persistent,transport_recursive_persistent,"841,23","0,00","5,00","6,06",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
5,0.00,transport_recursive_persistent,transport_recursive_persistent,"438,55","0,00","9,57","4,81",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
6,0.00,transport_recursive_persistent,transport_recursive_persistent,"441,96","0,00","9,63","4,90",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
7,0.00,transport_recursive_persistent,transport_recursive_persistent,"73,46","0,00","56,95","4,09",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
8,0.00,transport_recursive_persistent,transport_recursive_persistent,"72,44","0,00","58,23","4,18",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
9,0.00,transport_recursive_persistent,transport_recursive_persistent,"79,59","0,00","53,18","3,90",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
10,0.00,transport_recursive_persistent,transport_recursive_persistent,"74,91","0,00","55,17","4,01",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
11,0.00,transport_recursive_persistent,transport_recursive_persistent,"75,53","0,00","56,45","4,17",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
12,0.00,transport_recursive_persistent,transport_recursive_persistent,"75,73","0,00","55,19","3,97",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
13,0.00,transport_recursive_persistent,transport_recursive_persistent,"70,43","0,00","59,14","4,26",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
14,0.00,transport_recursive_persistent,transport_recursive_persistent,"74,95","0,00","55,24","4,02",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
15,0.00,transport_recursive_persistent,transport_recursive_persistent,"78,55","0,00","54,46","3,92",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
16,0.00,transport_recursive_persistent,transport_recursive_persistent,"72,97","0,00","57,25","4,12",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
17,0.00,transport_recursive_persistent,transport_recursive_persistent,"74,45","0,00","56,11","4,05",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
18,0.00,transport_recursive_persistent,transport_recursive_persistent,"73,72","0,00","56,37","4,06",128,"  157,    1,    1","  128,    1,    1",Kernel: SIMT
