kind,rank,nuclide,mt,n_e,n_t,rmse_log10,max_abs_log10,mean_rel_err,ns_per_lookup,mem_bytes
table,0,U235_elastic,2,83114,6,0,0,0,80.785,664912
svd,2,U235_elastic,2,83114,6,4.280e-3,5.230e-2,6.026e-3,31.104,1329920
svd,3,U235_elastic,2,83114,6,7.780e-4,9.410e-3,1.088e-3,34.368,1994880
svd,4,U235_elastic,2,83114,6,1.535e-4,2.067e-3,2.088e-4,34.868,2659840
svd,5,U235_elastic,2,83114,6,3.313e-5,5.555e-4,4.286e-5,36.249,3324800
svd,6,U235_elastic,2,83114,6,1.544e-15,5.571e-13,2.128e-15,38.507,3989760
table,0,U235_fission,18,83114,6,0,0,0,81.468,664912
svd,2,U235_fission,18,83114,6,2.029e-2,1.823e-1,3.246e-2,31.229,1329920
svd,3,U235_fission,18,83114,6,4.128e-3,4.500e-2,6.350e-3,32.199,1994880
svd,4,U235_fission,18,83114,6,9.080e-4,1.227e-2,1.308e-3,33.572,2659840
svd,5,U235_fission,18,83114,6,2.176e-4,4.280e-3,2.828e-4,35.313,3324800
svd,6,U235_fission,18,83114,6,1.626e-15,4.494e-13,2.802e-15,37.390,3989760
table,0,U235_capture,102,83114,6,0,0,0,82.276,664912
svd,2,U235_capture,102,83114,6,2.580e-2,2.351e-1,4.044e-2,31.467,1329920
svd,3,U235_capture,102,83114,6,5.337e-3,5.051e-2,8.101e-3,32.567,1994880
svd,4,U235_capture,102,83114,6,1.268e-3,1.471e-2,1.811e-3,34.694,2659840
svd,5,U235_capture,102,83114,6,3.407e-4,7.635e-3,4.311e-4,36.218,3324800
svd,6,U235_capture,102,83114,6,1.175e-15,2.136e-13,1.867e-15,38.023,3989760
table,0,U238_elastic,2,185903,6,0,0,0,84.294,1487224
svd,2,U238_elastic,2,185903,6,2.799e-2,5.195e-1,3.023e-2,36.409,2974544
svd,3,U238_elastic,2,185903,6,6.456e-3,1.462e-1,5.861e-3,37.289,4461816
svd,4,U238_elastic,2,185903,6,1.754e-3,4.047e-2,1.476e-3,40.251,5949088
svd,5,U238_elastic,2,185903,6,6.308e-4,2.247e-2,4.396e-4,42.942,7436360
svd,6,U238_elastic,2,185903,6,2.088e-15,8.278e-13,2.884e-15,44.808,8923632
table,0,U238_fission,18,185903,6,0,0,0,146.609,1487224
svd,2,U238_fission,18,185903,6,3.322e-2,5.454e-1,2.016e-2,61.598,2974544
svd,3,U238_fission,18,185903,6,9.162e-3,2.563e-1,4.651e-3,70.050,4461816
svd,4,U238_fission,18,185903,6,2.666e-3,8.501e-2,1.189e-3,72.813,5949088
svd,5,U238_fission,18,185903,6,1.226e-3,3.435e-2,5.730e-4,75.432,7436360
svd,6,U238_fission,18,185903,6,5.583e-15,2.578e-12,9.588e-15,53.690,8923632
table,0,U238_capture,102,185903,6,0,0,0,89.986,1487224
svd,2,U238_capture,102,185903,6,6.824e-2,5.053e-1,9.932e-2,42.365,2974544
svd,3,U238_capture,102,185903,6,1.852e-2,1.660e-1,2.589e-2,61.443,4461816
svd,4,U238_capture,102,185903,6,5.864e-3,5.123e-2,7.666e-3,66.554,5949088
svd,5,U238_capture,102,185903,6,2.187e-3,3.139e-2,2.402e-3,61.885,7436360
svd,6,U238_capture,102,185903,6,9.452e-16,4.006e-13,1.089e-15,76.892,8923632
table,0,U234_elastic,2,37420,6,0,0,0,75.474,299360
svd,2,U234_elastic,2,37420,6,4.716e-2,4.580e-1,5.852e-2,26.262,598816
svd,3,U234_elastic,2,37420,6,1.152e-2,1.399e-1,1.223e-2,31.910,898224
svd,4,U234_elastic,2,37420,6,3.289e-3,3.967e-2,3.298e-3,31.531,1197632
svd,5,U234_elastic,2,37420,6,1.280e-3,2.252e-2,1.134e-3,29.601,1497040
svd,6,U234_elastic,2,37420,6,1.195e-15,5.107e-14,2.437e-15,34.079,1796448
table,0,U234_capture,102,37420,6,0,0,0,83.644,299360
svd,2,U234_capture,102,37420,6,9.844e-2,3.300e-1,1.791e-1,26.617,598816
svd,3,U234_capture,102,37420,6,2.863e-2,1.347e-1,4.488e-2,30.114,898224
svd,4,U234_capture,102,37420,6,7.914e-3,4.074e-2,1.257e-2,32.123,1197632
svd,5,U234_capture,102,37420,6,3.463e-3,1.775e-2,5.466e-3,29.890,1497040
svd,6,U234_capture,102,37420,6,2.331e-15,2.007e-13,4.354e-15,31.272,1796448
