t_s,n,c1,c2,c3,c4,c5,c6,rho
0.000000e0,1.000000e0,1.991935e3,4.539344e3,1.100901e3,8.789037e2,7.298246e1,5.614618e0,0.000000e0
1.000000e-2,1.004252e0,1.991936e3,4.539347e3,1.100903e3,8.789086e2,7.298399e1,5.614929e0,3.250000e-5
2.000000e-2,1.009338e0,1.991938e3,4.539356e3,1.100911e3,8.789265e2,7.298960e1,5.616052e0,6.500000e-5
3.000000e-2,1.014495e0,1.991941e3,4.539373e3,1.100926e3,8.789579e2,7.299937e1,5.617994e0,9.750000e-5
4.000000e-2,1.019723e0,1.991945e3,4.539396e3,1.100947e3,8.790029e2,7.301333e1,5.620744e0,1.300000e-4
5.000000e-2,1.025025e0,1.991950e3,4.539427e3,1.100974e3,8.790617e2,7.303149e1,5.624288e0,1.625000e-4
6.000000e-2,1.030401e0,1.991957e3,4.539466e3,1.101008e3,8.791344e2,7.305386e1,5.628616e0,1.950000e-4
7.000000e-2,1.035851e0,1.991965e3,4.539511e3,1.101048e3,8.792212e2,7.308046e1,5.633717e0,2.275000e-4
8.000000e-2,1.041379e0,1.991975e3,4.539565e3,1.101095e3,8.793222e2,7.311129e1,5.639581e0,2.600000e-4
9.000000e-2,1.046983e0,1.991986e3,4.539626e3,1.101149e3,8.794377e2,7.314638e1,5.646197e0,2.925000e-4
1.000000e-1,1.052667e0,1.991998e3,4.539695e3,1.101210e3,8.795677e2,7.318574e1,5.653557e0,3.250000e-4
1.100000e-1,1.058432e0,1.992012e3,4.539772e3,1.101277e3,8.797124e2,7.322939e1,5.661652e0,3.575000e-4
1.200000e-1,1.064278e0,1.992027e3,4.539856e3,1.101352e3,8.798720e2,7.327734e1,5.670473e0,3.900000e-4
1.300000e-1,1.070207e0,1.992044e3,4.539949e3,1.101433e3,8.800467e2,7.332963e1,5.680013e0,4.225000e-4
1.400000e-1,1.076221e0,1.992062e3,4.540050e3,1.101522e3,8.802367e2,7.338626e1,5.690264e0,4.550000e-4
1.500000e-1,1.082321e0,1.992081e3,4.540160e3,1.101618e3,8.804420e2,7.344726e1,5.701219e0,4.875000e-4
1.600000e-1,1.088509e0,1.992102e3,4.540278e3,1.101722e3,8.806630e2,7.351265e1,5.712873e0,5.200000e-4
1.700000e-1,1.094785e0,1.992125e3,4.540405e3,1.101833e3,8.808998e2,7.358246e1,5.725218e0,5.525000e-4
1.800000e-1,1.101153e0,1.992149e3,4.540540e3,1.101951e3,8.811526e2,7.365670e1,5.738250e0,5.850000e-4
1.900000e-1,1.107613e0,1.992175e3,4.540684e3,1.102078e3,8.814215e2,7.373541e1,5.751964e0,6.175000e-4
2.000000e-1,1.114167e0,1.992202e3,4.540837e3,1.102212e3,8.817069e2,7.381861e1,5.766354e0,6.500000e-4
2.100000e-1,1.120817e0,1.992231e3,4.540999e3,1.102354e3,8.820088e2,7.390633e1,5.781417e0,6.825000e-4
2.200000e-1,1.127565e0,1.992262e3,4.541171e3,1.102504e3,8.823275e2,7.399860e1,5.797148e0,7.150000e-4
2.300000e-1,1.134412e0,1.992294e3,4.541351e3,1.102662e3,8.826632e2,7.409544e1,5.813544e0,7.475000e-4
2.400000e-1,1.141361e0,1.992328e3,4.541542e3,1.102828e3,8.830161e2,7.419690e1,5.830603e0,7.800000e-4
2.500000e-1,1.148412e0,1.992364e3,4.541741e3,1.103003e3,8.833864e2,7.430299e1,5.848321e0,8.125000e-4
2.600000e-1,1.155569e0,1.992401e3,4.541951e3,1.103186e3,8.837744e2,7.441376e1,5.866697e0,8.450000e-4
2.700000e-1,1.162834e0,1.992441e3,4.542171e3,1.103378e3,8.841803e2,7.452923e1,5.885728e0,8.775000e-4
2.800000e-1,1.170207e0,1.992482e3,4.542400e3,1.103579e3,8.846043e2,7.464946e1,5.905413e0,9.100000e-4
2.900000e-1,1.177693e0,1.992524e3,4.542640e3,1.103788e3,8.850466e2,7.477447e1,5.925752e0,9.425000e-4
3.000000e-1,1.185291e0,1.992569e3,4.542890e3,1.104007e3,8.855076e2,7.490429e1,5.946743e0,9.750000e-4
3.100000e-1,1.193006e0,1.992616e3,4.543151e3,1.104234e3,8.859873e2,7.503899e1,5.968386e0,1.007500e-3
3.200000e-1,1.200839e0,1.992664e3,4.543423e3,1.104471e3,8.864862e2,7.517858e1,5.990682e0,1.040000e-3
3.300000e-1,1.208793e0,1.992715e3,4.543705e3,1.104717e3,8.870044e2,7.532313e1,6.013631e0,1.072500e-3
3.400000e-1,1.216870e0,1.992767e3,4.543998e3,1.104973e3,8.875423e2,7.547266e1,6.037234e0,1.105000e-3
3.500000e-1,1.225073e0,1.992822e3,4.544303e3,1.105238e3,8.881000e2,7.562724e1,6.061492e0,1.137500e-3
3.600000e-1,1.233404e0,1.992878e3,4.544618e3,1.105514e3,8.886779e2,7.578690e1,6.086407e0,1.170000e-3
3.700000e-1,1.241865e0,1.992937e3,4.544946e3,1.105799e3,8.892762e2,7.595170e1,6.111982e0,1.202500e-3
3.800000e-1,1.250461e0,1.992998e3,4.545285e3,1.106094e3,8.898952e2,7.612168e1,6.138218e0,1.235000e-3
3.900000e-1,1.259193e0,1.993060e3,4.545636e3,1.106399e3,8.905353e2,7.629691e1,6.165118e0,1.267500e-3
4.000000e-1,1.268064e0,1.993125e3,4.545999e3,1.106715e3,8.911967e2,7.647743e1,6.192686e0,1.300000e-3
4.100000e-1,1.277078e0,1.993193e3,4.546374e3,1.107042e3,8.918797e2,7.666330e1,6.220925e0,1.332500e-3
4.200000e-1,1.286237e0,1.993262e3,4.546762e3,1.107379e3,8.925847e2,7.685458e1,6.249840e0,1.365000e-3
4.300000e-1,1.295545e0,1.993334e3,4.547162e3,1.107727e3,8.933119e2,7.705133e1,6.279434e0,1.397500e-3
4.400000e-1,1.305004e0,1.993408e3,4.547575e3,1.108086e3,8.940618e2,7.725362e1,6.309714e0,1.430000e-3
4.500000e-1,1.314619e0,1.993484e3,4.548002e3,1.108456e3,8.948346e2,7.746150e1,6.340683e0,1.462500e-3
4.600000e-1,1.324392e0,1.993563e3,4.548441e3,1.108838e3,8.956307e2,7.767504e1,6.372348e0,1.495000e-3
4.700000e-1,1.334328e0,1.993644e3,4.548894e3,1.109232e3,8.964504e2,7.789432e1,6.404714e0,1.527500e-3
4.800000e-1,1.344430e0,1.993727e3,4.549361e3,1.109637e3,8.972941e2,7.811940e1,6.437789e0,1.560000e-3
4.900000e-1,1.354701e0,1.993814e3,4.549842e3,1.110054e3,8.981622e2,7.835035e1,6.471579e0,1.592500e-3
5.000000e-1,1.365145e0,1.993902e3,4.550337e3,1.110484e3,8.990550e2,7.858726e1,6.506091e0,1.625000e-3
5.100000e-1,1.375768e0,1.993993e3,4.550847e3,1.110925e3,8.999730e2,7.883019e1,6.541334e0,1.657500e-3
5.200000e-1,1.386572e0,1.994087e3,4.551371e3,1.111380e3,9.009165e2,7.907924e1,6.577315e0,1.690000e-3
5.300000e-1,1.397561e0,1.994184e3,4.551910e3,1.111847e3,9.018859e2,7.933447e1,6.614044e0,1.722500e-3
5.400000e-1,1.408741e0,1.994283e3,4.552464e3,1.112327e3,9.028818e2,7.959598e1,6.651529e0,1.755000e-3
5.500000e-1,1.420116e0,1.994385e3,4.553034e3,1.112821e3,9.039044e2,7.986386e1,6.689780e0,1.787500e-3
5.600000e-1,1.431691e0,1.994490e3,4.553619e3,1.113328e3,9.049542e2,8.013819e1,6.728807e0,1.820000e-3
5.700000e-1,1.443470e0,1.994598e3,4.554220e3,1.113848e3,9.060318e2,8.041907e1,6.768621e0,1.852500e-3
5.800000e-1,1.455458e0,1.994709e3,4.554838e3,1.114383e3,9.071375e2,8.070660e1,6.809232e0,1.885000e-3
5.900000e-1,1.467660e0,1.994822e3,4.555472e3,1.114931e3,9.082718e2,8.100088e1,6.850654e0,1.917500e-3
6.000000e-1,1.480082e0,1.994939e3,4.556123e3,1.115495e3,9.094352e2,8.130200e1,6.892896e0,1.950000e-3
6.100000e-1,1.492730e0,1.995059e3,4.556791e3,1.116072e3,9.106283e2,8.161008e1,6.935973e0,1.982500e-3
6.200000e-1,1.505608e0,1.995182e3,4.557477e3,1.116665e3,9.118515e2,8.192523e1,6.979898e0,2.015000e-3
6.300000e-1,1.518723e0,1.995308e3,4.558181e3,1.117273e3,9.131053e2,8.224756e1,7.024684e0,2.047500e-3
6.400000e-1,1.532080e0,1.995437e3,4.558902e3,1.117897e3,9.143903e2,8.257718e1,7.070345e0,2.080000e-3
6.500000e-1,1.545687e0,1.995570e3,4.559642e3,1.118536e3,9.157071e2,8.291422e1,7.116897e0,2.112500e-3
6.600000e-1,1.559549e0,1.995706e3,4.560401e3,1.119191e3,9.170562e2,8.325880e1,7.164355e0,2.145000e-3
6.700000e-1,1.573673e0,1.995845e3,4.561179e3,1.119863e3,9.184382e2,8.361105e1,7.212736e0,2.177500e-3
6.800000e-1,1.588067e0,1.995988e3,4.561976e3,1.120551e3,9.198537e2,8.397111e1,7.262056e0,2.210000e-3
6.900000e-1,1.602736e0,1.996135e3,4.562793e3,1.121257e3,9.213033e2,8.433910e1,7.312333e0,2.242500e-3
7.000000e-1,1.617689e0,1.996285e3,4.563631e3,1.121979e3,9.227877e2,8.471518e1,7.363584e0,2.275000e-3
7.100000e-1,1.632933e0,1.996439e3,4.564489e3,1.122720e3,9.243076e2,8.509948e1,7.415830e0,2.307500e-3
7.200000e-1,1.648476e0,1.996596e3,4.565368e3,1.123478e3,9.258635e2,8.549216e1,7.469089e0,2.340000e-3
7.300000e-1,1.664326e0,1.996758e3,4.566269e3,1.124255e3,9.274562e2,8.589337e1,7.523383e0,2.372500e-3
7.400000e-1,1.680493e0,1.996923e3,4.567192e3,1.125050e3,9.290864e2,8.630328e1,7.578731e0,2.405000e-3
