t_s,n,c1,c2,c3,c4,c5,c6,rho
0.000000e0,1.000000e0,1.991935e3,4.539344e3,1.100901e3,8.789037e2,7.298246e1,5.614618e0,-6.500000e-3
1.000000e-2,4.992123e-1,1.991821e3,4.538705e3,1.100337e3,8.776835e2,7.260020e1,5.537642e0,-6.500000e-3
2.000000e-2,4.982873e-1,1.991698e3,4.538011e3,1.099725e3,8.763631e2,7.218986e1,5.456475e0,-6.500000e-3
3.000000e-2,4.973724e-1,1.991574e3,4.537316e3,1.099113e3,8.750442e2,7.178341e1,5.377561e0,-6.500000e-3
4.000000e-2,4.964662e-1,1.991449e3,4.536621e3,1.098501e3,8.737269e2,7.138081e1,5.300836e0,-6.500000e-3
5.000000e-2,4.955687e-1,1.991325e3,4.535924e3,1.097888e3,8.724112e2,7.098204e1,5.226236e0,-6.500000e-3
6.000000e-2,4.946795e-1,1.991200e3,4.535226e3,1.097275e3,8.710970e2,7.058704e1,5.153699e0,-6.500000e-3
7.000000e-2,4.937986e-1,1.991076e3,4.534527e3,1.096661e3,8.697845e2,7.019579e1,5.083165e0,-6.500000e-3
8.000000e-2,4.929257e-1,1.990951e3,4.533827e3,1.096047e3,8.684736e2,6.980824e1,5.014577e0,-6.500000e-3
9.000000e-2,4.920608e-1,1.990825e3,4.533126e3,1.095432e3,8.671644e2,6.942437e1,4.947878e0,-6.500000e-3
1.000000e-1,4.912037e-1,1.990700e3,4.532425e3,1.094818e3,8.658568e2,6.904415e1,4.883013e0,-6.500000e-3
1.100000e-1,4.903542e-1,1.990574e3,4.531722e3,1.094202e3,8.645509e2,6.866752e1,4.819930e0,-6.500000e-3
1.200000e-1,4.895122e-1,1.990448e3,4.531018e3,1.093587e3,8.632467e2,6.829446e1,4.758576e0,-6.500000e-3
1.300000e-1,4.886775e-1,1.990322e3,4.530313e3,1.092971e3,8.619442e2,6.792494e1,4.698902e0,-6.500000e-3
1.400000e-1,4.878500e-1,1.990196e3,4.529608e3,1.092355e3,8.606434e2,6.755892e1,4.640859e0,-6.500000e-3
1.500000e-1,4.870296e-1,1.990070e3,4.528901e3,1.091738e3,8.593443e2,6.719637e1,4.584400e0,-6.500000e-3
1.600000e-1,4.862162e-1,1.989943e3,4.528194e3,1.091122e3,8.580470e2,6.683725e1,4.529479e0,-6.500000e-3
1.700000e-1,4.854095e-1,1.989817e3,4.527485e3,1.090504e3,8.567514e2,6.648153e1,4.476052e0,-6.500000e-3
1.800000e-1,4.846096e-1,1.989690e3,4.526776e3,1.089887e3,8.554577e2,6.612918e1,4.424075e0,-6.500000e-3
