t_s,n,c1,c2,c3,c4,c5,c6,rho
0.000000e0,1.000000e0,1.991935e3,4.539344e3,1.100901e3,8.789037e2,7.298246e1,5.614618e0,3.250000e-3
1.000000e-2,1.964578e0,1.992110e3,4.540321e3,1.101762e3,8.807673e2,7.356660e1,5.732387e0,3.250000e-3
2.000000e-2,2.008846e0,1.992355e3,4.541698e3,1.102977e3,8.833909e2,7.438340e1,5.894610e0,3.250000e-3
3.000000e-2,2.017677e0,1.992606e3,4.543101e3,1.104213e3,8.860548e2,7.520605e1,6.055057e0,3.250000e-3
4.000000e-2,2.025117e0,1.992858e3,4.544513e3,1.105456e3,8.887314e2,7.602584e1,6.212047e0,3.250000e-3
5.000000e-2,2.032474e0,1.993112e3,4.545936e3,1.106708e3,8.914195e2,7.684244e1,6.365611e0,3.250000e-3
6.000000e-2,2.039802e0,1.993368e3,4.547368e3,1.107967e3,8.941188e2,7.765587e1,6.515845e0,3.250000e-3
7.000000e-2,2.047102e0,1.993625e3,4.548810e3,1.109233e3,8.968294e2,7.846613e1,6.662842e0,3.250000e-3
8.000000e-2,2.054375e0,1.993885e3,4.550262e3,1.110508e3,8.995511e2,7.927322e1,6.806692e0,3.250000e-3
9.000000e-2,2.061623e0,1.994146e3,4.551723e3,1.111789e3,9.022838e2,8.007718e1,6.947487e0,3.250000e-3
1.000000e-1,2.068845e0,1.994408e3,4.553194e3,1.113078e3,9.050274e2,8.087801e1,7.085311e0,3.250000e-3
1.100000e-1,2.076043e0,1.994673e3,4.554674e3,1.114374e3,9.077818e2,8.167573e1,7.220248e0,3.250000e-3
1.200000e-1,2.083217e0,1.994939e3,4.556164e3,1.115678e3,9.105468e2,8.247034e1,7.352381e0,3.250000e-3
1.300000e-1,2.090369e0,1.995207e3,4.557663e3,1.116989e3,9.133225e2,8.326188e1,7.481789e0,3.250000e-3
1.400000e-1,2.097498e0,1.995477e3,4.559172e3,1.118307e3,9.161087e2,8.405035e1,7.608547e0,3.250000e-3
1.500000e-1,2.104605e0,1.995749e3,4.560690e3,1.119632e3,9.189054e2,8.483578e1,7.732733e0,3.250000e-3
1.600000e-1,2.111692e0,1.996022e3,4.562218e3,1.120965e3,9.217124e2,8.561817e1,7.854417e0,3.250000e-3
1.700000e-1,2.118758e0,1.996297e3,4.563755e3,1.122305e3,9.245296e2,8.639754e1,7.973672e0,3.250000e-3
1.800000e-1,2.125804e0,1.996573e3,4.565301e3,1.123652e3,9.273570e2,8.717392e1,8.090565e0,3.250000e-3
1.900000e-1,2.132831e0,1.996852e3,4.566856e3,1.125006e3,9.301945e2,8.794732e1,8.205163e0,3.250000e-3
2.000000e-1,2.139839e0,1.997132e3,4.568421e3,1.126367e3,9.330420e2,8.871776e1,8.317532e0,3.250000e-3
2.100000e-1,2.146830e0,1.997414e3,4.569995e3,1.127735e3,9.358995e2,8.948525e1,8.427734e0,3.250000e-3
2.200000e-1,2.153802e0,1.997697e3,4.571578e3,1.129110e3,9.387668e2,9.024982e1,8.535831e0,3.250000e-3
2.300000e-1,2.160758e0,1.997982e3,4.573170e3,1.130492e3,9.416438e2,9.101149e1,8.641882e0,3.250000e-3
2.400000e-1,2.167698e0,1.998269e3,4.574771e3,1.131881e3,9.445306e2,9.177027e1,8.745945e0,3.250000e-3
2.500000e-1,2.174622e0,1.998557e3,4.576382e3,1.133277e3,9.474270e2,9.252618e1,8.848077e0,3.250000e-3
2.600000e-1,2.181530e0,1.998848e3,4.578001e3,1.134680e3,9.503330e2,9.327925e1,8.948331e0,3.250000e-3
2.700000e-1,2.188423e0,1.999139e3,4.579630e3,1.136090e3,9.532485e2,9.402949e1,9.046762e0,3.250000e-3
2.800000e-1,2.195302e0,1.999433e3,4.581267e3,1.137507e3,9.561734e2,9.477692e1,9.143420e0,3.250000e-3
2.900000e-1,2.202167e0,1.999728e3,4.582914e3,1.138930e3,9.591076e2,9.552157e1,9.238357e0,3.250000e-3
3.000000e-1,2.209019e0,2.000025e3,4.584569e3,1.140360e3,9.620512e2,9.626344e1,9.331620e0,3.250000e-3
3.100000e-1,2.215857e0,2.000323e3,4.586234e3,1.141797e3,9.650040e2,9.700257e1,9.423257e0,3.250000e-3
3.200000e-1,2.222683e0,2.000623e3,4.587908e3,1.143241e3,9.679660e2,9.773898e1,9.513314e0,3.250000e-3
3.300000e-1,2.229497e0,2.000925e3,4.589590e3,1.144692e3,9.709370e2,9.847268e1,9.601837e0,3.250000e-3
3.400000e-1,2.236298e0,2.001229e3,4.591281e3,1.146149e3,9.739172e2,9.920369e1,9.688868e0,3.250000e-3
3.500000e-1,2.243089e0,2.001534e3,4.592982e3,1.147613e3,9.769063e2,9.993204e1,9.774450e0,3.250000e-3
3.600000e-1,2.249868e0,2.001840e3,4.594691e3,1.149083e3,9.799044e2,1.006577e2,9.858624e0,3.250000e-3
3.700000e-1,2.256637e0,2.002149e3,4.596409e3,1.150560e3,9.829113e2,1.013808e2,9.941429e0,3.250000e-3
3.800000e-1,2.263396e0,2.002458e3,4.598136e3,1.152044e3,9.859271e2,1.021013e2,1.002291e1,3.250000e-3
3.900000e-1,2.270145e0,2.002770e3,4.599871e3,1.153535e3,9.889516e2,1.028192e2,1.010309e1,3.250000e-3
4.000000e-1,2.276884e0,2.003083e3,4.601616e3,1.155031e3,9.919849e2,1.035346e2,1.018202e1,3.250000e-3
4.100000e-1,2.283614e0,2.003398e3,4.603369e3,1.156535e3,9.950269e2,1.042474e2,1.025973e1,3.250000e-3
4.200000e-1,2.290335e0,2.003714e3,4.605131e3,1.158045e3,9.980774e2,1.049577e2,1.033626e1,3.250000e-3
4.300000e-1,2.297048e0,2.004033e3,4.606902e3,1.159562e3,1.001137e3,1.056655e2,1.041163e1,3.250000e-3
