scenario,provider,rank,k_eff,ns_per_p,mem_kb
on-library 294 K,SVD,1,1.00056,754.20,113175.7
on-library 294 K,Table,1,1.00322,1009.59,110775.1
on-library 294 K,ACE+WMP,1,1.00372,1048.29,107201.3
on-library 294 K,SVD,2,1.00601,843.81,125796.0
on-library 294 K,Table,2,1.00322,1664.33,110775.1
on-library 294 K,ACE+WMP,2,1.00372,1671.19,107201.3
on-library 294 K,SVD,3,1.00563,844.65,138416.2
on-library 294 K,Table,3,1.00322,1173.11,110775.1
on-library 294 K,ACE+WMP,3,1.00372,1757.09,107201.3
on-library 294 K,SVD,5,1.00358,904.41,163656.8
on-library 294 K,Table,5,1.00322,1419.72,110775.1
on-library 294 K,ACE+WMP,5,1.00372,3523.54,107201.3
on-library 294 K,SVD,7,1.00202,3191.37,176277.0
on-library 294 K,Table,7,1.00322,4360.64,110775.1
on-library 294 K,ACE+WMP,7,1.00372,3536.18,107201.3
stochastic 450 K,SVD,1,0.99699,2874.67,113175.7
stochastic 450 K,Table,1,1.00472,4104.94,221550.2
stochastic 450 K,ACE+WMP,1,1.00501,4043.12,213220.9
stochastic 450 K,SVD,2,1.00430,3067.18,125796.0
stochastic 450 K,Table,2,1.00697,4097.62,221550.2
stochastic 450 K,ACE+WMP,2,1.00501,4044.52,213220.9
stochastic 450 K,SVD,3,1.00704,3342.48,138416.2
stochastic 450 K,Table,3,1.00282,4039.17,221550.2
stochastic 450 K,ACE+WMP,3,1.00501,4172.71,213220.9
stochastic 450 K,SVD,5,1.00372,979.75,163656.8
stochastic 450 K,Table,5,1.00696,1531.40,221550.2
stochastic 450 K,ACE+WMP,5,1.00501,6832.16,213220.9
stochastic 450 K,SVD,7,1.00144,902.33,176277.0
stochastic 450 K,Table,7,1.00471,1249.83,221550.2
stochastic 450 K,ACE+WMP,7,1.00501,2042.72,213220.9
