particle,step,energy,pos_x,pos_y,pos_z,cell,material,macro_total,d_coll,d_surf,event,hit_nuc,micro_el,micro_inel,micro_fis,micro_cap,out_energy,rng_xi
0,0,1.00000000e6,-3.01708253e-1,6.81082838e-2,5.51386259e-1,0.00000000e0,0.00000000e0,5.42074153e-1,6.41865164e-1,1.83997699e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,7.06142292e-1
0,1,1.00000000e6,-4.09555808e-1,6.01702822e-3,4.15854942e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.44038279e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,0.00000000e0
0,2,1.00000000e6,-4.17998406e-1,1.15635694e-3,4.05245184e-1,2.00000000e0,1.00000000e0,2.77502195e-1,6.01352054e0,9.55137770e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,1.88479666e-1
0,3,1.00000000e6,-4.73982410e-1,-3.10754082e-2,3.34890453e-1,3.00000000e0,2.00000000e0,4.11846998e-1,6.01811504e0,2.66180158e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,8.38653610e-2
0,4,1.00000000e6,-6.30000000e-1,-1.20899680e-1,1.38824168e-1,3.00000000e0,2.00000000e0,4.11846998e-1,1.05117834e0,3.87553390e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,6.48609368e-1
0,5,1.00000000e6,-4.02841267e-1,-2.51682162e-1,-1.46644728e-1,2.00000000e0,1.00000000e0,2.77502195e-1,6.48846286e-1,6.56204520e-1,0.00000000e0,4.00000000e0,6.25592121e0,-0.00000000e0,0.00000000e0,7.19890851e-3,9.81501486e5,8.35223213e-1
0,6,9.81501486e5,-2.25295464e-2,-4.70639674e-1,-6.24579980e-1,2.00000000e0,1.00000000e0,2.80509846e-1,7.70189937e-1,7.76622762e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.81501486e5,8.05698351e-1
0,7,9.81501486e5,3.32832142e-2,-4.16672800e-1,-6.22594273e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.34249330e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.81501486e5,0.00000000e0
0,8,9.81501486e5,4.29311806e-2,-4.07343919e-1,-6.22251017e-1,0.00000000e0,0.00000000e0,5.10155535e-1,7.04275874e0,5.04743929e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.81501486e5,2.75183464e-2
0,9,9.81501486e5,4.05670342e-1,-5.66015762e-2,-6.09345475e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.34249330e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.81501486e5,0.00000000e0
